Strategy,Task,Accuracy
naive,1,8.5
naive,2,10.25
naive,3,12.833333333333334
frozen_backbone,1,9.0
frozen_backbone,2,9.25
frozen_backbone,3,10.666666666666666
clear,1,11.0
clear,2,11.25
clear,3,11.0
